property,network,result,lower_bound,upper_bound,time,steps
3,2-7,unsat,1.0,1.0,0.016324983,6
3,2-8,unsat,1.0,1.0,0.01922526,8
3,2-9,unsat,1.0,Inf,0.000177685,1
3,3-1,unsat,1.0,1.0,0.20162063,22
3,3-2,unsat,1.0,1.0,6.470794485,2047
3,3-3,unsat,1.0,1.0,2.042050212,483
3,3-4,unsat,1.0,1.0,0.072827426,12
3,3-5,unsat,1.0,1.0,0.013597709,4
3,3-6,unsat,1.0,1.0,0.050081105,12
3,3-7,unsat,1.0,1.0,0.004510909,2
3,3-8,unsat,1.0,1.0,0.023730876,8
3,3-9,unsat,1.0,1.0,0.085002479,9
3,4-1,unsat,1.0,1.0,2.12697294,588
3,4-2,unsat,1.0,1.0,6.332333534,1626
3,4-3,unsat,1.0,1.0,2.223991645,462
3,4-4,unsat,1.0,1.0,0.011051493,4
3,4-5,unsat,1.0,1.0,0.007649479,4
3,4-6,unsat,1.0,1.0,0.111254538,24
3,4-7,unsat,1.0,1.0,0.027328948,10
3,4-8,unsat,1.0,1.0,0.011842241,5
3,4-9,unsat,1.0,1.0,0.052463713,9
3,5-1,unsat,1.0,1.0,1.94580002,512
3,5-2,unsat,1.0,1.0,0.574712383,91
3,5-3,unsat,1.0,1.0,0.174098781,17
3,5-4,unsat,1.0,1.0,0.021308221,4
3,5-5,unsat,1.0,1.0,0.045552858,9
3,5-6,unsat,1.0,1.0,0.044866018,10
3,5-7,unsat,1.0,Inf,0.000211364,1
3,5-8,unsat,1.0,1.0,0.060906373,17
3,5-9,unsat,1.0,1.0,0.025102336,10
4,1-1,unsat,1.0,1.0,1.910169792,297
4,1-2,unsat,1.0,1.0,1.518671354,256
4,1-3,unsat,1.0,1.0,18.179943372,6381
4,1-4,unsat,1.0,1.0,0.04684239,8
4,1-5,unsat,1.0,1.0,0.788024685,188
4,1-6,unsat,1.0,1.0,0.181445739,12
4,1-7,sat,0.0,0.0,0.004546531,1
4,1-8,sat,0.0,0.0,0.004363506,1
4,1-9,sat,0.0,0.0,0.004617757,1
4,2-1,unsat,1.0,1.0,0.083545265,15
4,2-2,unsat,1.0,1.0,0.079018413,12
4,2-3,unsat,1.0,1.0,0.024474233,3
4,2-4,unsat,1.0,1.0,0.018169185,3
4,2-5,unsat,1.0,1.0,0.081706504,18
4,2-6,unsat,1.0,1.0,0.048485972,8
4,2-7,unsat,1.0,1.0,0.027073034,6
4,2-8,unsat,1.0,1.0,0.158683403,16
4,2-9,unsat,1.0,1.0,0.005253174,2
4,3-1,unsat,1.0,1.0,0.055736951,8
4,3-2,unsat,1.0,1.0,0.046247289,8
4,3-3,unsat,1.0,1.0,0.090585699,29
4,3-4,unsat,1.0,1.0,0.015582923,3
4,3-5,unsat,1.0,1.0,0.072414629,13
