property,network,result,lower_bound,upper_bound,time,steps
1,1-1,unsat,0.0,0.0,0.073758836,105
1,1-2,unsat,0.0,0.0,0.05509011,90
1,1-3,unsat,0.0,0.0,0.067381695,135
1,1-4,unsat,0.0,0.0,0.038981602,75
1,1-5,unsat,0.0,0.0,0.026353399,60
1,1-6,unsat,0.0,0.0,0.037818539,60
1,1-7,unsat,0.0,0.0,0.018057822,35
1,1-8,unsat,0.0,0.0,0.018017942,20
1,1-9,unsat,0.0,0.0,0.009050834,15
1,2-1,unsat,0.0,0.0,0.048695518,100
1,2-2,unsat,0.0,0.0,0.17026761,390
1,2-3,unsat,0.0,0.0,0.063811937,150
1,2-4,unsat,0.0,0.0,0.04463397,125
1,2-5,unsat,0.0,0.0,0.424970581,1025
1,2-6,unsat,0.0,0.0,0.219622185,540
1,2-7,unsat,0.0,0.0,1.587092734,4570
1,2-8,unsat,0.0,0.0,4.057723591,11165
1,2-9,unsat,0.0,0.0,3.377820983,9845
1,3-1,unsat,0.0,0.0,0.193027908,465
1,3-2,unsat,0.0,0.0,0.082944024,210
1,3-3,unsat,0.0,0.0,0.114057355,265
1,3-4,unsat,0.0,0.0,0.07534854,200
1,3-5,unsat,0.0,0.0,0.526509175,1470
1,3-6,unsat,0.0,0.0,0.903474553,2305
1,3-7,unsat,0.0,0.0,1.586648547,2815
1,3-8,unsat,0.0,0.0,1.031667784,3390
1,3-9,unsat,0.0,0.0,3.169889739,12075
1,4-1,unsat,0.0,0.0,0.24452893,695
1,4-2,unsat,0.0,0.0,0.10966764,255
1,4-3,unsat,0.0,0.0,0.08561169,235
1,4-4,unsat,0.0,0.0,0.05330349,140
1,4-5,unsat,0.0,0.0,0.164071731,475
1,4-6,unsat,0.0,0.0,1.383629818,4100
1,4-7,unsat,0.0,0.0,2.859510125,9335
1,4-8,unsat,0.0,0.0,0.955211699,3005
1,4-9,unsat,0.0,4.921514239253355e-6,6.754941728,23685
1,5-1,unsat,0.0,0.0,0.073858734,170
1,5-2,unsat,0.0,0.0,0.087524456,235
1,5-3,unsat,0.0,0.0,0.031770168,90
1,5-4,unsat,0.0,0.0,0.034235517,85
1,5-5,unsat,0.0,0.0,0.129334623,370
1,5-6,unsat,0.0,0.0,0.629507429,1935
1,5-7,unsat,0.0,0.0,0.709907182,2265
1,5-8,unsat,0.0,0.0,1.364789568,4730
1,5-9,unsat,0.0,0.0,1.084273178,3170
2,1-1,unsat,1.0,1.0,26.114462773,8597
2,1-2,sat,0.0,0.0,19.617063463,9955
2,1-3,sat,0.0,0.0,33.822478974,15905
2,1-4,sat,0.0,0.0,10.026031654,5080
2,1-5,sat,0.0,0.0,18.703155444,7095
2,1-6,sat,0.0,0.0,2.403819077,410
2,1-7,unsat,1.0,1.0,37.361252711,14602
2,1-8,unsat,1.0,1.0,24.235736185,9414
2,1-9,unsat,1.0,1.0,39.329746771,16569
2,2-1,sat,0.0,0.0,0.534226574,60
2,2-2,sat,0.0,0.0,0.508901859,30
2,2-3,sat,0.0,0.0,0.404901466,30
2,2-4,sat,0.0,0.0,0.384139795,30
2,2-5,sat,0.0,0.0,0.350507454,20
2,2-6,sat,0.0,0.0,0.487106583,30
2,2-7,sat,0.0,0.0,0.409660068,20
2,2-8,sat,0.0,0.0,0.445822403,30
2,2-9,sat,0.0,0.0,15.932095944,5875
2,3-1,sat,0.0,0.0,0.873293342,105
2,3-2,sat,0.0,0.0,0.486973544,45
2,3-3,inconclusive,0.0,1.0,1043.830451684,750000
2,3-4,sat,0.0,0.0,0.714128647,75
2,3-5,sat,0.0,0.0,6.159468494,1315
2,3-6,sat,0.0,0.0,0.683485091,70
2,3-7,sat,0.0,0.0,0.646729205,60
2,3-8,sat,0.0,0.0,0.507649341,50
2,3-9,sat,0.0,0.0,0.647418795,40
2,4-1,sat,0.0,0.0,0.434500349,30
2,4-2,inconclusive,0.0,1.0,1257.354759944,750000
2,4-3,sat,0.0,0.0,0.544633035,45
2,4-4,sat,0.0,0.0,0.486293239,50
2,4-5,sat,0.0,0.0,0.504219509,30
2,4-6,sat,0.0,0.0,0.388962335,20
2,4-7,sat,0.0,0.0,0.43154763,30
2,4-8,sat,0.0,0.0,0.509171414,40
2,4-9,sat,0.0,0.0,72.354990614,33380
2,5-1,sat,0.0,0.0,0.555471906,40
2,5-2,sat,0.0,0.0,1.004434929,130
2,5-3,inconclusive,0.0,1.0,978.540179502,750000
2,5-4,sat,0.0,0.0,0.460128702,50
2,5-5,sat,0.0,0.0,0.472980569,30
2,5-6,sat,0.0,0.0,0.577224993,30
2,5-7,sat,0.0,0.0,0.362369845,20
2,5-8,sat,0.0,0.0,0.803271211,90
2,5-9,sat,0.0,0.0,0.650084955,40
3,1-1,unsat,1.0,1.0,34.126008077,5812
3,1-2,unsat,1.0,1.0,2.274440446,430
3,1-3,inconclusive,0.0,1.0,1580.103165599,750000
3,1-4,unsat,1.0,1.0,0.053961969,9
3,1-5,unsat,1.0,1.0,0.065598895,20
3,1-6,unsat,1.0,Inf,0.003828075,2
3,1-7,sat,0.0,0.0,0.016844199,5
3,1-8,sat,0.0,0.0,0.014498017,5
3,1-9,sat,0.0,0.0,0.014284368,5
3,2-1,unsat,1.0,1.0,0.823178786,149
3,2-2,unsat,1.0,1.0,1.984469107,561
3,2-3,unsat,1.0,1.0,0.866481698,279
3,2-4,unsat,1.0,Inf,0.002850817,2
3,2-5,unsat,1.0,1.0,0.021011205,6
3,2-6,unsat,1.0,Inf,0.008164418,3
3,2-7,unsat,1.0,1.0,0.014510367,6
3,2-8,unsat,1.0,1.0,0.019596355,8
3,2-9,unsat,1.0,Inf,0.000171978,1
3,3-1,unsat,1.0,1.0,0.123595826,22
3,3-2,unsat,1.0,1.0,6.661769779,2047
3,3-3,unsat,1.0,1.0,1.937112865,483
3,3-4,unsat,1.0,1.0,0.114205742,12
3,3-5,unsat,1.0,Inf,0.011989695,4
3,3-6,unsat,1.0,1.0,0.045021605,12
3,3-7,unsat,1.0,Inf,0.003930803,2
3,3-8,unsat,1.0,1.0,0.020398981,8
3,3-9,unsat,1.0,1.0,0.023852973,9
3,4-1,unsat,1.0,1.0,2.218273123,588
3,4-2,unsat,1.0,1.0,6.365104588,1626
3,4-3,unsat,1.0,1.0,2.169670737,462
3,4-4,unsat,1.0,Inf,0.012017448,4
3,4-5,unsat,1.0,Inf,0.008180243,4
3,4-6,unsat,1.0,1.0,0.111918302,24
3,4-7,unsat,1.0,1.0,0.028201614,10
3,4-8,unsat,1.0,Inf,0.017388346,5
3,4-9,unsat,1.0,1.0,0.051391262,9
3,5-1,unsat,1.0,1.0,2.060850858,512
3,5-2,unsat,1.0,1.0,0.62400173,91
3,5-3,unsat,1.0,1.0,0.082147293,17
3,5-4,unsat,1.0,Inf,0.027980748,4
3,5-5,unsat,1.0,1.0,0.059024486,9
3,5-6,unsat,1.0,1.0,0.05251458,10
3,5-7,unsat,1.0,Inf,0.000242927,1
3,5-8,unsat,1.0,1.0,0.0653668,17
3,5-9,unsat,1.0,1.0,0.025646828,10
4,1-1,unsat,1.0,1.0,1.937759282,297
4,1-2,unsat,1.0,1.0,1.482397582,256
4,1-3,unsat,1.0,1.0,19.167120779,6381
4,1-4,unsat,1.0,1.0,0.047932046,8
4,1-5,unsat,1.0,1.0,0.792855021,188
4,1-6,unsat,1.0,1.0,0.101785942,12
4,1-7,sat,0.0,0.0,0.028545337,5
4,1-8,sat,0.0,0.0,0.027603392,5
4,1-9,sat,0.0,0.0,0.024563777,5
