property,network_1,network_2,marabou result,marabou_time,nnenum_time,eran_time,priority_time_stopfreq1,priority_time_stopfreq5,priority_time_stopfreq10
1,1,1,unsat,8.257317,3.54183438,7.56829381,0.173188846,,
1,1,2,unsat,10.317023,4.977556385,7.175187111,0.080287348,,
1,1,3,unsat,24.972634,6.853023123,11.78150797,0.106264633,,
1,1,4,unsat,13.915364,7.491809413,10.89314651,0.041880667,,
1,1,5,unsat,6.029546,5.265829295,8.32760334,0.050100542,,
1,1,6,unsat,8.278914,18.63228353,7.985339403,0.040419819,,
1,1,7,unsat,4.807598,5.40860213,8.389755726,0.023937545,,
1,1,8,unsat,3.017001,9.668221135,7.877428055,0.027874762,,
1,1,9,unsat,1.716888,4.403107587,8.381011486,0.010793982,,
1,2,1,unsat,12.393467,12.91063544,8.183284998,0.057886263,,
1,2,2,unsat,31.851172,30.34339734,17.50426769,0.241187579,,
1,2,3,unsat,23.59536,14.41013606,9.277917862,0.076643885,,
1,2,4,unsat,14.089582,5.859872673,8.077242374,0.074484208,,
1,2,5,unsat,68.045768,39.90782218,43.66993189,0.560297331,,
1,2,6,unsat,69.653968,19.37606223,24.63106966,0.304375463,,
1,2,7,unsat,351.917408,44.2139778,75.93687701,2.18206783,,
1,2,8,unsat,296.64064,40.54837534,69.41849327,4.842134815,,
1,2,9,unsat,370.520928,61.97565643,83.69420481,3.667163564,,
1,3,1,unsat,17.902048,19.13547176,12.28257823,0.202684909,,
1,3,2,unsat,20.386144,10.61163481,15.79956532,0.0931889,,
1,3,3,unsat,17.384038,17.41875777,9.587842464,0.123952226,,
1,3,4,unsat,13.467898,9.368668653,8.374321461,0.067860644,,
1,3,5,unsat,38.185196,20.29280848,19.88933492,0.536564269,,
1,3,6,unsat,149.33856,58.44034343,56.52225161,0.920879608,,
1,3,7,unsat,239.669184,49.81805591,63.02805829,1.084894617,,
1,3,8,unsat,166.356304,42.97293453,55.29508495,1.287636475,,
1,3,9,unsat,546.824384,34.22105867,87.38281107,3.967910144,,
1,4,1,unsat,40.946776,30.21692011,32.24166656,0.28251581,,
1,4,2,unsat,20.199236,23.46291934,10.6936996,0.134924136,,
1,4,3,unsat,17.798944,11.05691766,8.997384787,0.095609595,,
1,4,4,unsat,17.028296,7.842541575,9.385917187,0.062770819,,
