property,network_1,network_2,marabou result,marabou_time,nnenum_time,eran_time,priority_time_stopfreq1,priority_time_stopfreq5,priority_time_stopfreq10
4,2,5,unsat,1.095859,0.19353069,12.05357337,0.091497659,0.076366965,0.135842731
4,2,6,unsat,1.546731,0.269143615,14.19409585,0.053652371,0.051047825,0.042286684
4,2,7,unsat,0.775259,0.121601436,20.47219014,0.147990979,0.026273272,0.0226575
4,2,8,unsat,2.086088,0.368098632,17.97423291,0.074894391,0.089957484,0.078428833
4,2,9,unsat,0.40369,0.010321315,0.067090988,0.005108916,0.00407852,0.003512076
4,3,1,unsat,4.566277,0.242346093,26.30669785,0.044292938,0.119398627,0.069182693
4,3,2,unsat,2.33414,0.200313736,19.39056253,0.055784784,0.047851739,0.054650447
4,3,3,unsat,0.390675,0.084487915,0.075788021,0.104621725,0.088984716,0.106115852
4,3,4,unsat,0.791388,0.086578485,12.76390815,0.017400435,0.016968835,0.016622045
4,3,5,unsat,1.425568,0.268114869,13.57473707,0.07467957,0.072964721,0.102507038
4,3,6,unsat,0.918177,0.122921977,19.28558779,0.024195093,0.028975291,0.025359458
4,3,7,unsat,0.783923,0.152291149,13.35643172,0.017116105,0.016899689,0.012251891
4,3,8,unsat,1.545656,0.245961856,14.26547551,0.032454246,0.038212725,0.02477534
4,3,9,unsat,1.452434,0.27206289,15.32457423,0.054244946,0.041366395,0.041812859
4,4,1,unsat,0.399973,0.059609957,0.089895964,0.004998823,0.003990016,0.003711353
4,4,2,unsat,1.361382,0.203104839,14.17385674,0.072805324,0.122881462,0.069794738
4,4,3,unsat,2.249845,0.188448679,19.28725147,0.049272425,0.04039086,0.038461704
4,4,4,unsat,1.38112,0.170678016,13.96920562,0.035013253,0.033991782,0.037354134
4,4,5,unsat,0.824222,0.075421423,18.49453402,0.018097485,0.010609775,0.017147151
4,4,6,unsat,0.803815,0.09880792,19.27678275,0.023691168,0.017574278,0.021162145
4,4,7,unsat,0.886385,0.087849088,15.57112193,0.166056592,0.022050089,0.029159513
4,4,8,unsat,1.0609,0.227279417,16.1729908,0.087637153,0.080683236,0.119396958
4,4,9,unsat,0.919104,0.087097019,17.271348,0.020286237,0.022400232,0.018283342
4,5,1,unsat,0.798536,0.171926916,23.69276929,0.017811653,0.027365067,0.02427074
4,5,2,unsat,0.718594,0.089257181,38.5388186,0.010504571,0.009216248,0.007447588
4,5,3,unsat,1.159131,0.121659055,14.06657624,0.03721616,0.040491533,0.034643734
4,5,4,unsat,0.755807,0.136171918,10.35328627,0.01873501,0.081201298,0.019291174
4,5,5,unsat,0.896847,0.130648419,11.97667813,0.037033629,0.033198454,0.037937413
4,5,6,unsat,0.396979,0.140425246,0.080883741,0.019274107,0.015644591,0.017404142
4,5,7,unsat,0.381847,0.052687485,0.073823214,0.014186423,0.013123557,0.014963985
4,5,8,unsat,1.085346,0.207337085,13.35585713,0.036949689,0.031245552,0.036988275
4,5,9,unsat,0.813671,0.094650231,21.28073883,0.013238311,0.013060635,0.013712428
